name,classification,transient_RA,transient_Dec,first_detection,latest_detection,number_of_detection,group_name
2022lmx,,302.12329583333326,61.6372,2022-06-01 09:24:29,2022-06-01 13:05:12.106000,3,Unknown
2022lmw,,322.7688833333333,-11.959063888888888,2022-05-31 14:22:24.960000,2022-06-01 10:33:36,3,Unknown
2022lmu,,336.9325416666666,16.36873611111111,2022-05-31 14:20:22.272000,2022-06-01 13:19:27.034000,4,Unknown
2022lms,,324.48945416666663,-6.149344444444445,2022-05-31 14:15:56.765000,2022-06-01 10:35:02,3,Unknown
2022lmt,,317.38064166666663,-7.029941666666667,2022-05-31 13:37:36.538000,2022-06-01 10:32:10,3,Unknown
2022lns,,28.73527916666666,37.6073,2022-05-31 11:20:31,2022-06-01 11:22:30,4,ALeRCE
2022lqv,,219.3587208333333,52.23983888888889,2022-05-30 09:19:40.742000,2022-06-02 06:43:12,4,ZTF
2022lmr,,289.3774875,65.83380833333332,2022-05-28 10:19:12,2022-06-01 12:13:37.430000,3,Unknown
2022lnx,,314.01480416666664,26.44521388888889,2022-05-28 09:39:27,2022-06-01 10:37:58,4,ALeRCE
2022lny,,314.0644166666666,29.386180555555555,2022-05-28 09:39:27,2022-06-01 10:37:58,4,ALeRCE
2022lkr,,250.6702833333333,37.825497222222225,2022-05-28 08:50:29,2022-06-01 09:42:11.606000,5,Unknown
2022lkk,,262.6809875,37.16618333333333,2022-05-28 07:49:23,2022-06-01 10:35:51.216000,7,Unknown
12FYSEbvp,,334.381052267193,6.168863873198974,2022-05-27 14:32:22.942000,2022-06-01 13:44:41.933000,4,YSE
12FYSEbvo,,332.0849534371821,6.864876103839129,2022-05-27 14:31:10.129000,2022-06-01 13:38:50.552000,3,YSE
2022lps,,220.4626833333333,-8.547775,2022-05-27 08:05:15.249000,2022-06-02 06:55:35,3,Pan-STARRS
2022lpd,,208.4718083333333,39.56781666666667,2022-05-27 07:13:17,2022-06-01 07:47:50,3,ALeRCE
2022lkp,,213.1822833333333,32.146316666666664,2022-05-27 07:10:35,2022-06-01 08:29:30.653000,6,Unknown
2022lks,,200.03605833333333,42.369480555555555,2022-05-27 06:51:55,2022-06-01 09:19:32.189000,4,Unknown
2022lpa,,163.5109458333333,55.25633611111111,2022-05-27 05:52:14,2022-06-01 04:46:36,3,ALeRCE
2022llq,,180.8189583333333,51.83171388888889,2022-05-27 04:46:34,2022-06-01 08:42:38.362000,3,Unknown
2022lku,,206.71824583333333,18.674169444444445,2022-05-26 08:47:20.112000,2022-06-01 08:17:49.085000,7,Unknown
2022lqy,,197.68922916666665,24.081297222222222,2022-05-26 08:41:53.866000,2022-06-02 06:14:24,7,ZTF
2022lkz,,261.59675416666664,32.50888611111111,2022-05-26 08:27:21,2022-06-01 10:32:22.906000,7,Unknown
2022lkl,,248.82769999999994,40.691266666666664,2022-05-26 08:20:56,2022-06-01 10:47:03.581000,4,Unknown
2022llm,,254.42869166666662,76.27016388888889,2022-05-26 08:16:47,2022-06-01 13:35:29.789000,3,Unknown
2022llc,,235.4846458333333,44.202786111111116,2022-05-26 07:52:15,2022-06-01 10:45:09.706000,4,Unknown
