name,classification,transient_RA,transient_Dec,first_detection,latest_detection,number_of_detection,group_name
12FYSEbyq,,-0.8892120713771232,21.562817773371584,2022-06-07 14:27:38.744000,2022-06-09 14:27:50.387000,5,YSE
12FYSEbyr,,315.79551966690406,-1.7611104193566756,2022-06-07 13:32:14.267000,2022-06-08 13:21:48.558000,4,YSE
12FYSEbyw,,245.6940388036404,34.928374505030284,2022-06-07 07:42:21.848000,2022-06-09 07:35:39.993000,6,YSE
12FYSEbyv,,244.53126969863615,33.93460606405925,2022-06-07 07:41:45.415000,2022-06-09 07:35:03.612000,6,YSE
2022mie,,319.3379208333333,33.00316111111111,2022-06-05 09:48:24,2022-06-08 09:57:52,3,Unknown
2022mcs,,257.8404791666666,14.573522222222222,2022-06-04 07:36:29,2022-06-08 08:33:34,3,Unknown
2022mhj,,165.17132916666665,72.77538888888888,2022-06-03 05:38:24,2022-06-09 06:28:17,3,ZTF
2022mhs,,319.1874536400437,9.50935142802464,2022-06-02 12:58:33.024000,2022-06-08 13:28:29.512000,8,YSE
2022lta,,228.3546651165956,1.463167605402976,2022-06-02 09:54:52,2022-06-08 07:54:37.707000,6,YSE
12FYSEbwl,,229.8293248951048,10.37489745744035,2022-06-02 08:07:31.613000,2022-06-08 07:40:24.313000,4,YSE
2022mdk,,229.09775198428906,-2.7556855155761326,2022-06-01 09:27:51.499000,2022-06-08 07:49:26.298000,7,YSE
2022ljr,,235.75865950219762,18.076670176382116,2022-05-30 08:04:49,2022-06-09 07:27:02.247000,16,YSE
2022lkk,,262.6810458333333,37.166225,2022-05-28 07:49:23,2022-06-08 10:28:02,8,Unknown
12FYSEbvp,,334.3810542919509,6.168889353344458,2022-05-27 14:32:22.942000,2022-06-09 13:32:40.530000,11,YSE
12FYSEbyh,,335.00121531124915,1.2060406238371961,2022-05-27 14:31:46.503000,2022-06-09 13:32:04.133000,9,YSE
2022mbd,,332.0849336549187,6.864846685781009,2022-05-27 14:31:10,2022-06-09 13:31:27.553000,11,YSE
2022lbg,,291.63444999999996,-26.01195277777778,2022-05-27 10:55:48,2022-06-08 11:32:04,3,Unknown
2022mjq,,163.93006666666665,66.47400277777778,2022-05-26 06:47:21.869000,2022-06-09 06:36:43,7,Pan-STARRS
