name,classification,transient_RA,transient_Dec,first_detection,latest_detection,number_of_detection,group_name
2022keb,,158.48978333333332,-0.5099611111111111,2022-05-16 04:17:19,2022-05-19 04:22:43,3,Unknown
2022kbb,,230.28155833333332,31.563141666666667,2022-05-15 10:41:19.709000,2022-05-18 05:42:38,3,Unknown
2022kbc,,181.1954625,9.438255555555555,2022-05-15 09:32:22.618000,2022-05-18 06:43:09,4,Unknown
2022kbm,,246.3263375,9.020366666666668,2022-05-15 07:21:31,2022-05-18 08:03:53,3,Unknown
2022kbk,,164.40611249999995,34.774794444444446,2022-05-15 06:10:48,2022-05-18 08:08:39.581000,3,Unknown
2022kds,,304.7997333333333,58.492825,2022-05-14 11:12:16,2022-05-19 10:44:16,6,Unknown
2022kcn,,165.00472083333332,55.583711111111114,2022-05-14 08:28:49.181000,2022-05-19 05:51:22,5,Unknown
2022kcm,,146.33198333333334,56.695188888888886,2022-05-14 04:48:00,2022-05-19 06:38:53,3,Unknown
2022kan,,214.8760405429267,42.95096214903862,2022-05-13 09:57:23.213000,2022-05-18 09:58:26.976000,9,YSE
2022kbj,,169.16394166666666,31.771608333333333,2022-05-13 05:40:47,2022-05-18 08:04:17.789000,4,Unknown
2022kbl,,157.24896249999998,37.48639722222222,2022-05-13 04:49:42,2022-05-18 08:09:07.142000,5,Unknown
2022kbg,,141.96852916666663,20.732491666666665,2022-05-13 04:29:17,2022-05-18 07:13:15.946000,3,Unknown
2022jux,,121.84273268016777,40.39299505904008,2022-05-13 04:24:30.004000,2022-05-19 08:26:19.968000,29,Unknown
2022kbp,,149.80699999999996,33.138844444444445,2022-05-13 04:22:05,2022-05-18 07:43:25.680000,3,Unknown
2022kcp,,191.55154583333334,65.87304999999999,2022-05-12 08:34:25.104000,2022-05-18 09:25:29,4,Unknown
2022kaz,,219.28926666666663,59.73459722222222,2022-05-12 05:24:21,2022-05-18 07:48:35,3,Unknown
2022jyk,,229.24757083333333,19.419877777777778,2022-05-11 07:16:05,2022-05-18 16:55:44.832000,8,Unknown
2022kbi,,170.92312499999997,34.16998611111111,2022-05-11 07:04:21.475000,2022-05-18 08:49:23.146000,5,Unknown
2022kbo,,228.47019166666664,32.24274722222222,2022-05-11 06:20:10,2022-05-18 10:36:29.923000,3,Unknown
2022juh,,276.60068749999994,46.284188888888885,2022-05-10 12:14:24.173000,2022-05-18 08:17:52,6,Unknown
2022kao,,215.17840239877154,38.191926980889164,2022-05-10 10:52:19.546000,2022-05-18 08:27:00.098000,6,YSE
2022jxr,,217.33130416666663,32.89088888888889,2022-05-10 09:12:43,2022-05-18 10:13:23.376000,12,Unknown
2022jsj,,219.66979019851635,43.747673683489644,2022-05-10 08:20:44,2022-05-18 08:48:41.328000,12,Unknown
2022kat,,231.21515795900922,9.447757769938573,2022-05-09 09:59:57.364000,2022-05-18 08:37:40.256000,8,YSE
2022jox,SN II,149.43541249999998,-28.515794444444445,2022-05-09 04:22:55,2022-05-18 10:12:48.384000,35,Unknown
2022kcg,,281.56059999999997,22.066383333333334,2022-05-08 09:56:10,2022-05-18 11:45:49.824000,3,Unknown
2022kac,,224.45217499999995,29.655627777777777,2022-05-08 07:27:50,2022-05-18 10:31:26.746000,10,Unknown
2022jvx,,244.76877916666663,20.391005555555555,2022-05-05 07:42:52.040000,2022-05-19 06:57:26,17,YSE
2022kar,,157.46647499999997,-3.4469694444444445,2022-05-05 07:29:07,2022-05-19 05:44:10,10,YSE
